Release Date,Movie Title,IMDB_rating,MPAA,Featured_Team
6/15/1988,Bull Durham,7.1,R,Minors
4/21/1989,Field of Dreams,7.5,PG,Chicago White Sox
7/1/1992,A League of Their Own,7.3,PG,N/A
4/7/1993,The Sandlot,7.8,PG,Los Angeles Dodgers
7/7/1993,Rookie of the Year,6.1,PG,Chicago Cubs
7/10/1994,Angels in the Outfield,6.2,PG,California Angels
12/2/1994,Cobb,6.4,R,Detroit Tigers
9/15/1999,For Love of the Game,6.6,PG-13,Detroit Tigers
4/28/2001,61*,7.7,TV-MA,New York Yankees
3/26/2002,The Rookie,6.9,G,Tampa Bay Rays
9/8/2004,Mr. 3000,5.6,PG-13,Milwaukee Brewers
1/21/2008,Sugar,7.2,R,Minors
9/9/2011,Moneyball,7.6,PG-13,Oakland A's
4/9/2013,42,7.5,PG-13,Brooklyn Dodgers
3/11/2016,Everybody Wants Some!!,6.9,R,N/A
